utm_x_gps,utm_y_gps
1001,2000
1008,2005
1022,2023
1029,2030
1041,2037
1054,2048
1057,2058
1071,2067
1082,2084
1089,2087
1098,2097
1112,2108
1122,2121
1127,2128
1140,2143
1149,2145
1156,2162
1172,2171
1180,2176
1186,2192
1199,2195
1205,2213
1224,2223
1230,2226
1243,2241
1245,2254
1264,2257
1267,2271
1281,2284
1288,2293
1303,2298
1307,2305
1319,2316
1327,2325
1341,2339
1349,2349
1363,2361
1371,2373
1376,2383
1388,2387
1403,2397
1406,2407
1424,2418
1433,2432
1444,2440
1449,2452
1456,2455
1468,2472
1481,2478
1492,2485
1497,2502
1505,2508
1518,2520
1526,2532
1542,2538
1548,2547
1556,2563
1570,2567
1580,2583
1594,2586
1598,2596
1610,2606
1616,2620
1634,2627
1636,2643
1654,2648
1658,2655
1672,2668
1681,2675
1693,2689
1702,2698
1709,2712
1716,2722
1729,2731
1742,2737
1754,2745
1763,2755
1773,2767
1775,2780
1793,2791
1801,2800
1813,2810
1822,2820
1825,2827
1842,2840
1852,2852
1857,2856
1865,2869
1882,2875
1887,2885
1897,2899
1905,2907
1919,2918
1934,2927
1941,2935
1954,2945
1963,2959
1971,2970
1983,2977
1992,2993
1996,2999
2005,3012
2021,3015
2031,3029
2042,3037
2049,3045
2057,3058
2072,3069
2080,3081
2087,3085
2095,3097
2107,3106
2119,3123
2127,3134
2135,3140
2149,3154
2164,3157
2171,3172
2181,3182
2193,3186
2204,3200
2214,3211
2217,3216
2231,3234
2235,3236
2248,3254
2258,3255
2269,3272
2281,3275
2291,3293
2298,3300
2311,3311
2317,3324
2330,3331
2336,3344
2354,3347
2363,3356
2369,3373
2380,3382
2388,3394
2404,3401
2411,3413
2423,3418
2431,3428
2435,3435
2445,3452
2463,3457
2473,3471
2478,3476
2493,3486
2497,3501
2511,3510
2520,3517
2532,3533
2543,3544
2549,3550
2555,3564
2567,3574
2584,3580
2592,3585
2600,3598
2612,3614
2623,3620
2628,3630
2635,3639
2645,3645
2664,3662
2668,3669
2681,3679
2686,3691
2697,3698
2705,3710
2719,3718
2725,3727
2742,3741
2745,3752
2755,3758
2766,3766
2776,3784
2790,3787
2801,3795
2809,3812
2815,3817
2825,3834
2837,3841
2846,3854
2859,3859
2874,3874
2880,3879
2891,3891
2898,3903
2911,3909
2922,3915
2925,3934
2940,3944
2952,3945
2959,3956
2968,3970
2976,3983
2990,3992
